"transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
281474976710658,7703,0,"Dkk3",4820.3257,768.67926,15.693588,16.515629
281474976710659,7704,0,"Dkk3",4820.89,731.11847,15.173458,22.901026
281474976710661,7704,0,"Dkk3",4821.784,733.2124,14.51788,15.178098
281474976710664,7886,0,"Bhlhe40",4824.488,656.7761,15.052075,22.886139
281474976710665,7704,1,"Bhlhe40",4825.741,737.8718,17.312185,31.84678
281474976710666,7706,1,"Neurod6",4825.8647,731.9268,15.605976,15.870037
281474976710668,7706,1,"Sox10",4828.9385,729.1626,17.071465,16.680943
281474976710670,7886,0,"Dkk3",4829.487,664.70807,16.564245,8.445508
281474976710674,7886,1,"Dkk3",4831.6465,660.24963,13.983862,28.154264
281474976710676,7886,0,"Dkk3",4834.4844,663.3026,16.49666,22.61611
281474976710677,7706,1,"Sox10",4834.934,728.08673,17.051199,16.227379
281474976710678,-1,0,"Dkk3",4836.308,881.4813,14.430318,40.0
281474976710679,7873,1,"Dkk3",4834.9976,624.5525,15.127246,40.0
281474976710680,7711,0,"Bhlhe40",4836.126,752.92523,15.057694,25.83778
281474976710681,7724,1,"Bhlhe40",4836.407,779.0423,16.70302,40.0
281474976710682,7706,0,"Sox10",4836.1445,727.7681,14.859079,40.0
281474976710683,7886,0,"Dkk3",4836.0254,673.27716,16.230406,15.783508
281474976710684,7885,1,"Dkk3",4836.322,661.5486,14.359548,40.0
281474976710685,7873,1,"Neurod6",4837.4946,627.4125,17.085653,40.0
281474976710686,7709,1,"Gjb2",4838.227,700.5982,15.312146,40.0
281474976710687,7709,0,"Dkk3",4839.077,709.5973,15.16073,40.0
281474976710688,7709,1,"Dkk3",4840.081,699.5368,14.410922,40.0
281474976710689,7709,1,"Bhlhe40",4840.2007,705.3941,15.330307,40.0
281474976710690,7881,0,"Dkk3",4840.694,643.92377,14.267355,40.0
281474976710691,7709,1,"Dkk3",4841.4336,701.1312,14.24024,28.154264
281474976710692,7709,1,"Dkk3",4841.603,704.7347,16.096928,40.0
281474976710693,7709,0,"Dkk3",4841.6445,695.8886,15.27904,40.0
281474976710694,7724,0,"Car4",4842.3906,773.1886,14.265802,40.0
281474976710695,7886,0,"Dkk3",4841.7583,674.8617,15.067827,40.0
281474976710696,7876,0,"Dkk3",4842.616,628.7197,15.518143,40.0
281474976710697,7709,1,"Sema5b",4843.18,704.4323,14.990394,12.982813
281474976710698,7710,0,"Neurod6",4843.7183,691.8724,15.710137,15.024559
281474976710699,7876,1,"Car4",4843.8525,633.37714,14.648504,40.0
281474976710700,7711,0,"Bhlhe40",4844.695,752.8779,14.214717,22.881916
281474976710701,7709,1,"Dkk3",4844.8857,702.9295,14.680636,40.0
281474976710702,7710,1,"Neurod6",4844.935,690.1576,15.359508,26.166996
281474976710703,7881,1,"Dkk3",4845.6895,651.194,15.239728,40.0
281474976710704,7714,0,"Bhlhe40",4846.649,734.77594,14.676964,40.0
281474976710705,7710,0,"Dkk3",4846.7764,685.67255,14.522469,40.0
281474976710706,7856,0,"Dkk3",4847.095,670.0114,14.558963,40.0
281474976710707,7856,0,"Neurod6",4847.1733,672.76666,15.882557,15.624968
281474976710708,7711,1,"Bhlhe40",4847.8687,759.9201,14.088171,40.0
281474976710709,7714,0,"Dkk3",4848.1772,741.249,15.388889,21.123407
281474976710710,7712,0,"Neurod6",4848.3745,776.1225,15.551215,26.166996
281474976710711,7881,0,"Dkk3",4847.917,642.1288,14.7031765,40.0
281474976710712,7712,0,"Dkk3",4848.831,771.4212,14.568425,15.622429
281474976710713,7856,0,"Bhlhe40",4848.5,671.85767,15.595814,40.0
281474976710714,7726,0,"Bhlhe40",4849.484,788.4144,15.164398,40.0
281474976710715,7713,0,"Bhlhe40",4849.368,720.0944,15.016714,26.898216
281474976710716,7713,0,"Dkk3",4849.6733,713.99854,15.302475,28.154264
281474976710717,7726,0,"Dkk3",4850.697,788.3363,15.1076355,40.0
281474976710718,-1,0,"Sema5b",4851.1313,827.8877,14.658239,40.0
281474976710719,-1,0,"Dkk3",4851.16,825.6007,14.26523,40.0
281474976710720,7713,0,"Neurod6",4850.841,714.2626,15.386226,40.0
281474976710721,7712,1,"Bhlhe40",4851.711,776.1875,17.630262,40.0
281474976710722,7714,0,"Neurod6",4851.8564,726.87244,14.767166,40.0
281474976710723,7712,1,"Dkk3",4852.7705,776.04443,18.120907,26.538876
281474976710724,7714,0,"Bhlhe40",4853.1855,743.5,15.839166,23.487532
281474976710725,7876,0,"Dkk3",4852.5835,626.9002,14.968073,40.0
281474976710726,7713,1,"Dkk3",4854.4243,716.8579,17.403131,40.0
281474976710727,7856,0,"Neurod6",4854.206,666.511,15.825372,16.767607
281474976710728,7713,0,"Dkk3",4854.5957,712.45685,16.056429,30.238195
281474976710729,7856,0,"Bhlhe40",4854.533,673.0931,16.373922,17.299652
281474976710730,7713,1,"Bhlhe40",4854.93,718.8135,16.360996,12.362641
281474976710731,7711,1,"Bhlhe40",4855.7695,763.54034,15.7528305,40.0
281474976710732,7710,0,"Bhlhe40",4855.601,693.6427,14.768354,40.0
281474976710733,7712,0,"Dkk3",4856.884,787.4315,15.102122,40.0
281474976710734,7856,0,"Dkk3",4856.314,676.0335,15.463362,40.0
281474976710735,7875,0,"Bhlhe40",4856.4346,629.7718,14.476497,40.0
281474976710736,7856,0,"Dkk3",4856.5938,674.7736,15.728714,28.154264
281474976710737,7712,1,"Bhlhe40",4857.68,776.28143,15.297981,17.212164
281474976710738,7856,0,"Dkk3",4857.1885,675.82367,15.887471,40.0
281474976710739,9292,1,"Bhlhe40",4858.8354,881.5491,14.665246,40.0
281474976710740,7714,1,"Lyz2",4857.6514,738.9284,16.067604,40.0
281474976710741,7714,1,"Lyz2",4857.778,736.35834,15.309471,40.0
281474976710742,7713,1,"Dkk3",4857.819,718.50635,15.140773,40.0
281474976710743,7712,0,"Bhlhe40",4858.566,769.6289,14.117015,10.386743
281474976710744,9292,0,"Dkk3",4859.5957,877.9443,15.262831,15.529349
281474976710745,9292,1,"Dkk3",4859.8096,886.69824,15.045836,15.097574
281474976710746,7712,0,"Bhlhe40",4859.075,772.81915,15.405726,40.0
281474976710747,7714,0,"Dkk3",4859.089,728.4485,15.331671,40.0
281474976710748,7856,1,"Neurod6",4859.048,670.68396,15.161108,40.0
281474976710749,9292,0,"Dkk3",4860.6763,876.7447,15.861473,22.868979
281474976710750,7714,1,"Lyz2",4859.725,739.33984,15.514409,15.7414875
